entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
CoQuan_817656383,CoQuan,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,173695,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
CoQuan_817656383,CoQuan,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,186482,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
DoiTuongApDung_602723052,DoiTuongApDung,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài; Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam","Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài; Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam",163441,gemini,0.9,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam"
LinhVuc_153055480,LinhVuc,Kiểm toán nội bộ,Kiểm toán nội bộ,150974,gemini,0.9,Ban hành chuẩn mực kiểm toán nội bộ Việt Nam
LinhVuc_580170688,LinhVuc,Bảo hiểm,Bảo hiểm,112924,gemini,0.9,DOANH NGHIỆP KINH DOANH BẢO HIỂM
LinhVuc_898393019,LinhVuc,Kiểm toán,Kiểm toán,30402,gemini,0.9,"đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán"
LinhVuc_27003347,LinhVuc,Ngân hàng,ngân hàng,168220,gemini,0.9,hoạt động trong lĩnh vực ngân hàng
LinhVuc_84410887,LinhVuc,Tổ chức tín dụng,Tổ chức tín dụng,166170,gemini,0.9,LUẬT CÁC TỔ CHỨC TÍN DỤNG
LinhVuc_377570137,LinhVuc,"Quản lý, giám sát ngân hàng","quản lý, giám sát ngân hàng",186482,gemini,0.85,"trong lĩnh vực quản lý, giám sát ngân hàng liên quan đến cắt giảm điều kiện kinh doanh, đơn giản hóa thủ tục hành chính"
LinhVuc_384788153,LinhVuc,Tín dụng,Tín dụng,168859,gemini,0.85,quỹ tín dụng nhân dân
LinhVuc_27003347,LinhVuc,Ngân hàng,Ngân hàng,164719,gemini,0.85,"quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
LinhVuc_27003347,LinhVuc,Ngân hàng,Ngân hàng,173695,gemini,0.85,"Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài , văn phòng đại diện nước ngoài"
LinhVuc_591842244,LinhVuc,Quản lý dự trữ ngoại hối nhà nước,quản lý dự trữ ngoại hối nhà nước,169221,gemini,0.85,hướng dẫn việc tổ chức thực hiện hoạt động quản lý dự trữ ngoại hối nhà nước
LinhVuc_266672757,LinhVuc,"Thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam","thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam",38128,gemini,0.85,"THÔNG TƯ Q uy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam"
